name,medianPayDiff,section,clean_name,highlight
Lincolnshire Partnership NHS Foundation Trust,15,Public Sector,Lincolnshire Partnership Nhs Foundation Trust,
Lincolnshire Police,7.6,Public Sector,Lincolnshire Police,
LINECROSS GROUP LIMITED,16.7,"Professional, scientific and technical activities",Linecross Group,
Lingfield Education Trust,7.2,Public Sector,Lingfield Education Trust,
Lingfield Ltd,0.7,Accommodation and food service activities,Lingfield,
Linklaters Business Services,39.1,Administrative and support service activities,Linklaters Business Services,
LINSCO LIMITED,3,Administrative and support service activities,Linsco,
LIQUID FRIDAY LIMITED,0,Administrative and support service activities,Liquid Friday,
LISTERS GROUP LIMITED,17.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Listers Group,
Liverpool Hope University,16,Public Sector,Liverpool Hope University,
Liverpool Hope University,16,Education,Liverpool Hope University,
Liverpool John Moores University,21.9,Public Sector,Liverpool John Moores University,
Liverpool John Moores University,21.9,Education,Liverpool John Moores University,
Liverpool School Of Tropical Medicine,13.7,"Professional, scientific and technical activities",Liverpool School Of Tropical Medicine,
Liverpool School Of Tropical Medicine,13.7,Education,Liverpool School Of Tropical Medicine,
Livewell Southwest Cic,8,Human health and social work activities,Livewell Southwest Cic,
Livewire (Warrington) Cic,0,Human health and social work activities,Livewire (warrington) Cic,
Livewire (Warrington) Cic,0,"Arts, entertainment and recreation",Livewire (warrington) Cic,
LIVING AMBITIONS LIMITED,-2.6,Other service activities,Living Ambitions,
LLOYD SHOE CO LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Lloyd Shoe Co,
LLOYDS BANK ASSET FINANCE LIMITED,28.8,Financial and insurance activities,Lloyds Bank Asset Finance,
LLOYDS BANK COMMERCIAL FINANCE LIMITED,27.6,Financial and insurance activities,Lloyds Bank Commercial Finance,
Lloyds Bank PLC,42.7,Financial and insurance activities,Lloyds Bank,
Lloyds Banking Group PLC,32.8,"Professional, scientific and technical activities",Lloyds Banking Group,
LOCAL WORLD LIMITED,7.1,Information and communication,Local World,
LOCKHEED MARTIN UK AMPTHILL LIMITED,15.3,Manufacturing,Lockheed Martin Uk Ampthill,
LOCKHEED MARTIN UK LIMITED,24.3,"Professional, scientific and technical activities",Lockheed Martin Uk,
LONDON & COUNTRY MORTGAGES LIMITED,23.6,Financial and insurance activities,London & Country Mortgages,
London Borough of Hackney,-8,Public Sector,London Borough Of Hackney,
London Borough of Hackney,-8,Public administration and defence; compulsory social security,London Borough Of Hackney,
London Borough of Hillingdon,0,Public Sector,London Borough Of Hillingdon,
London Borough of Hillingdon,0,Public administration and defence; compulsory social security,London Borough Of Hillingdon,
London Borough Of Hounslow,7.3,Public Sector,London Borough Of Hounslow,
London Borough Of Hounslow,7.3,Public administration and defence; compulsory social security,London Borough Of Hounslow,
London Borough of Islington,-12.6,Public Sector,London Borough Of Islington,
London Borough of Redbridge Council,-10.1,Public Sector,London Borough Of Redbridge Council,
London Borough of Redbridge Council,-10.1,Public administration and defence; compulsory social security,London Borough Of Redbridge Council,
LONDON CITY BOND LIMITED,14.3,Transportation and storage,London City Bond,
LONDON GATEWAY PORT LIMITED,2.2,Transportation and storage,London Gateway Port,
London Metropolitan University,11.5,Public Sector,London Metropolitan University,
London Metropolitan University,11.5,Education,London Metropolitan University,
London South Bank University,5.4,Public Sector,London South Bank University,
London South Bank University,5.4,Education,London South Bank University,
LONETREE LIMITED,-1,Accommodation and food service activities,Lonetree,
LONGACRES GARDEN CENTRE LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Longacres Garden Centre,
LORIMER CARE HOMES LIMITED,0,Human health and social work activities,Lorimer Care Homes,
Lorne Stewart PLC,37.5,Construction,Lorne Stewart,
LOUIS VUITTON UK LIMITED,2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Louis Vuitton Uk,
LOUVER-LITE LIMITED,-0.7,Manufacturing,Louver-lite,
Luxottica Retail UK Ltd,4.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Luxottica Retail Uk,
LYONS DAVIDSON LIMITED,18,"Professional, scientific and technical activities",Lyons Davidson,
LYRECO UK LIMITED,-8.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Lyreco Uk,
M & D (LEISURE) LIMITED,0,Accommodation and food service activities,M & D (leisure),
M & D (LEISURE) LIMITED,0,"Arts, entertainment and recreation",M & D (leisure),
M & G LIMITED,32,"Professional, scientific and technical activities",M & G,
M AND M DIRECT LIMITED,11,Wholesale and retail trade; repair of motor vehicles and motorcycles,M And M Direct,
M J BIRTWISTLE & CO LIMITED,-0.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,M J Birtwistle & Co,
M.P. MORAN & SONS LIMITED,7.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,M.p. Moran & Sons,
M.P.I. LIMITED,11.7,Administrative and support service activities,M.p.i.,
MABEY HIRE LIMITED,4.8,Administrative and support service activities,Mabey Hire,
MACARTHYS LABORATORIES LIMITED,5.9,Manufacturing,Macarthys Laboratories,
MACH RECRUITMENT LIMITED,0,Administrative and support service activities,Mach Recruitment,
Macintyre Care,2.4,Human health and social work activities,Macintyre Care,
MACPHIE LIMITED,1.2,Manufacturing,Macphie,
MAERSK OIL NORTH SEA UK LIMITED,35,Mining and Quarrying,Maersk Oil North Sea Uk,
MAGDALEN COLLEGE SCHOOL OXFORD LIMITED,13.3,Education,Magdalen College School Oxford,
MAGNA SPECIALIST CONFECTIONERS LIMITED,15,Manufacturing,Magna Specialist Confectioners,
Maiden Erlegh Trust,59.5,Public Sector,Maiden Erlegh Trust,
Maiden Erlegh Trust,59.5,Education,Maiden Erlegh Trust,
Maidstone Borough Council,4.9,Public Sector,Maidstone Borough Council,
Maidstone Borough Council,4.9,Public administration and defence; compulsory social security,Maidstone Borough Council,
Maintel Holdings PLC,39,"Professional, scientific and technical activities",Maintel Holdings,
MAJESTIC BINGO LIMITED,0,"Arts, entertainment and recreation",Majestic Bingo,
MAJESTIC WINE WAREHOUSES LIMITED,-2.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Majestic Wine Warehouses,
MAKITA MANUFACTURING EUROPE LIMITED,1.6,Manufacturing,Makita Manufacturing Europe,
MALLING HEALTH (UK) LIMITED,73,Administrative and support service activities,Malling Health,
Maltby Learning Trust,39,Public Sector,Maltby Learning Trust,
Maltby Learning Trust,39,Education,Maltby Learning Trust,
Mama Bear's Day Nursery Ltd,1.6,Human health and social work activities,Mama Bear's Day Nursery,
MAN GROUP SERVICES LIMITED,27.5,"Professional, scientific and technical activities",Man Group Services,
Manchester Airport PLC,3.7,Transportation and storage,Manchester Airport,
Manchester Metropolitan University,6,Public Sector,Manchester Metropolitan University,
Manchester Metropolitan University,6,Education,Manchester Metropolitan University,
MANDARIN ORIENTAL HYDE PARK LIMITED,0.8,Accommodation and food service activities,Mandarin Oriental Hyde Park,
MANOR OF GROVES LIMITED,-8.4,Accommodation and food service activities,Manor Of Groves,
MANOR RESTAURANTS (UK) LIMITED,1,Accommodation and food service activities,Manor Restaurants,
MANORCOURT CARE (NORFOLK) LIMITED,1.3,Human health and social work activities,Manorcourt Care (norfolk),
Mansfield College,5,Public Sector,Mansfield College,
Mansfield College,5,Education,Mansfield College,
Mansfield District Council,8.6,Public Sector,Mansfield District Council,
Mansfield District Council,8.6,Public administration and defence; compulsory social security,Mansfield District Council,
MARC LIMITED,6.8,"Professional, scientific and technical activities",Marc,
MARCUS & MARCUS LIMITED,0,Human health and social work activities,Marcus & Marcus,
MARDI FOODS LIMITED,-1.2,Accommodation and food service activities,Mardi Foods,
MARDIX LIMITED,5,Manufacturing,Mardix,
MARIPOSA CARE LIMITED,0,Human health and social work activities,Mariposa Care,
MARITZCX LIMITED,13.5,"Professional, scientific and technical activities",Maritzcx,
MARKEL INTERNATIONAL SERVICES LIMITED,36.8,Financial and insurance activities,Markel International Services,
MARKS & SPENCER FINANCIAL SERVICES PLC,2,Financial and insurance activities,Marks & Spencer Financial Services,
MARKS AND SPENCER P.L.C.,3.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Marks And Spencer,
MARLOW FOODS LIMITED,3.1,Manufacturing,Marlow Foods,
MARSHALL CONSTRUCTION LIMITED,1,Construction,Marshall Construction,
Martin-Brower UK Ltd,2.4,Transportation and storage,Martin-brower Uk,
MASS CONSULTANTS LIMITED,33,Information and communication,Mass Consultants,
MAWDSLEY-BROOKS & COMPANY LIMITED,-8.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Mawdsley-brooks & Company,
MAXUS COMMUNICATIONS (UK) LIMITED,9.7,"Professional, scientific and technical activities",Maxus Communications,
MAYDAY HEALTHCARE PLC,18.7,Administrative and support service activities,Mayday Healthcare,
MAYFLEX UK LIMITED,-5.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Mayflex Uk,
MAZARS LIMITED,2.9,Administrative and support service activities,Mazars,
MB AEROSPACE NEWTON ABBOT LIMITED,8.6,Manufacturing,Mb Aerospace Newton Abbot,
MBNA LIMITED,19,Financial and insurance activities,Mbna,
MC TRUCK & BUS LIMITED,20.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Mc Truck & Bus,
MCALPINE & COMPANY. LIMITED,0,Manufacturing,Mcalpine & Company.,
MCCAIN FOODS (G.B.) LIMITED,6.8,Manufacturing,Mccain Foods (g.b.),
McColl's Retail Group PLC,3,Financial and insurance activities,Mccoll's Retail Group,
MCD GROUP LIMITED,16.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Mcd Group,
MCPHILLIPS (WELLINGTON) LIMITED,11.3,Construction,Mcphillips (wellington),
MDU SERVICES LIMITED,11.2,Financial and insurance activities,Mdu Services,
MDU SERVICES LIMITED,11.2,"Professional, scientific and technical activities",Mdu Services,
MECALAC CONSTRUCTION EQUIPMENT UK LIMITED,0,Manufacturing,Mecalac Construction Equipment Uk,
MEDIACOM HOLDINGS LIMITED,11.1,"Professional, scientific and technical activities",Mediacom Holdings,
MEDIACOM NORTH LIMITED,15.7,"Professional, scientific and technical activities",Mediacom North,
MEDIAEDGE:CIA (UK) HOLDINGS LIMITED,6.1,"Professional, scientific and technical activities",Mediaedge:cia  Holdings,
MEDIAEDGE:CIA (UK) HOLDINGS LIMITED,6.1,Activities of extraterritorial organisations and bodies,Mediaedge:cia  Holdings,
MEDICAL SERVICES INTERNATIONAL LIMITED,-2.1,Human health and social work activities,Medical Services International,
MEDILINE NURSES & CARERS LIMITED,-0.3,Human health and social work activities,Mediline Nurses & Carers,
MEDINA DAIRY LIMITED,12,Wholesale and retail trade; repair of motor vehicles and motorcycles,Medina Dairy,
MEDIVET GROUP LIMITED,28,"Professional, scientific and technical activities",Medivet Group,
Medway Council,9.4,Public Sector,Medway Council,
Medway Council,9.4,Public administration and defence; compulsory social security,Medway Council,
MEGGITT (UK) LIMITED,23.5,Manufacturing,Meggitt,
MEGGITT AEROSPACE LIMITED,21.4,Manufacturing,Meggitt Aerospace,
MELITTA UK LTD.,6.4,Manufacturing,Melitta Uk .,
Mental Health Concern,17.9,Human health and social work activities,Mental Health Concern,
MERCER LIMITED,31.1,Administrative and support service activities,Mercer,
Mersey Care Nhs Foundation Trust,4.1,Public Sector,Mersey Care Nhs Foundation Trust,
Mersey Care Nhs Foundation Trust,4.1,Human health and social work activities,Mersey Care Nhs Foundation Trust,
Merseyside Fire and Rescue Service,2.3,Public Sector,Merseyside Fire And Rescue Service,
MERSON SIGNS LIMITED,7,Manufacturing,Merson Signs,
Metro Bank PLC,13.5,Financial and insurance activities,Metro Bank,
MGN LIMITED,20.7,Manufacturing,Mgn,
MGN LIMITED,20.7,Information and communication,Mgn,
MICHAEL I HOLDSWORTH LIMITED,4.7,Transportation and storage,Michael I Holdsworth,
MICHELDEVER TYRE SERVICES LIMITED,-19.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Micheldever Tyre Services,
MICHELMERSH BRICK UK LIMITED,-11.6,Manufacturing,Michelmersh Brick Uk,
Mid Cheshire College,8.9,Public Sector,Mid Cheshire College,
Mid Cheshire Hospitals Nhs Foundation Trust,12.2,Public Sector,Mid Cheshire Hospitals Nhs Foundation Trust,
Mid Cheshire Hospitals Nhs Foundation Trust,12.2,Human health and social work activities,Mid Cheshire Hospitals Nhs Foundation Trust,
Mid Devon District Council,1.8,Public Sector,Mid Devon District Council,
Mid Devon District Council,1.8,Public administration and defence; compulsory social security,Mid Devon District Council,
Mid Suffolk District Council,19.7,Public Sector,Mid Suffolk District Council,
Mid Suffolk District Council,19.7,Public administration and defence; compulsory social security,Mid Suffolk District Council,
Mid Sussex District Council,9.9,Public Sector,Mid Sussex District Council,
Mid Sussex District Council,9.9,Public administration and defence; compulsory social security,Mid Sussex District Council,
Mid Yorkshire Hospitals NHS Trust,21.8,Public Sector,Mid Yorkshire Hospitals Nhs Trust,
Mid Yorkshire Hospitals NHS Trust,21.8,Human health and social work activities,Mid Yorkshire Hospitals Nhs Trust,
Middlesbrough College,9.8,Public Sector,Middlesbrough College,
Middlesbrough College,9.8,Education,Middlesbrough College,
Middlesbrough Council,12.6,Public Sector,Middlesbrough Council,
Middlesbrough Council,12.6,Public administration and defence; compulsory social security,Middlesbrough Council,
Midsomer Norton Schools Partnership,46.4,Public Sector,Midsomer Norton Schools Partnership,
Midsomer Norton Schools Partnership,46.4,Education,Midsomer Norton Schools Partnership,
Milkwood Care Ltd,-7.9,Human health and social work activities,Milkwood Care,
MILLBROOK GROUP LIMITED,16.1,"Professional, scientific and technical activities",Millbrook Group,
MILLBROOK PROVING GROUND LIMITED,16.1,"Professional, scientific and technical activities",Millbrook Proving Ground,
MILLENNIUM CARE SERVICES LIMITED,0,Human health and social work activities,Millennium Care Services,
MILLIKEN INDUSTRIALS LIMITED,-14.7,Manufacturing,Milliken Industrials,
MILLWARD BROWN UK LIMITED,8.1,"Professional, scientific and technical activities",Millward Brown Uk,
MINDSHARE MEDIA UK LIMITED,22.2,"Professional, scientific and technical activities",Mindshare Media Uk,
Ministry Of Defence,14.6,Public Sector,Ministry Of Defence,
Ministry of Justice,10.6,Public Sector,Ministry Of Justice,
"MINOR,WEIR AND WILLIS LIMITED",0,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Minor,weir And Willis",
MINORFERN LIMITED,-29.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Minorfern,
MINSTER CARE MANAGEMENT LIMITED,1.3,Human health and social work activities,Minster Care Management,
Minsthorpe Academy Trust,42.1,Public Sector,Minsthorpe Academy Trust,
Minsthorpe Academy Trust,42.1,Education,Minsthorpe Academy Trust,
Mirus-Wales,0.4,Human health and social work activities,Mirus-wales,
Mizuho International PLC,37.7,Financial and insurance activities,Mizuho International,
MJ Gleeson PLC,0.7,Construction,Mj Gleeson,
MOBILE WINDSCREENS LIMITED,-0.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Mobile Windscreens,
Modality Partnership,116,Public Sector,Modality Partnership,
Mole Valley District Council,6.4,Public Sector,Mole Valley District Council,
Mole Valley District Council,6.4,Public administration and defence; compulsory social security,Mole Valley District Council,
MONARCH EDUCATION LIMITED,5.7,Administrative and support service activities,Monarch Education,
MONDELEZ UK CONFECTIONERY PRODUCTION LIMITED,0.7,Administrative and support service activities,Mondelez Uk Confectionery Production,
MONDELEZ UK LIMITED,8.3,Manufacturing,Mondelez Uk,
MONDELEZ UK R&D LIMITED,22.2,"Professional, scientific and technical activities",Mondelez Uk R&d,
MONTRACON LIMITED,4.5,Manufacturing,Montracon,
Montsaye Community Learning Partnership,50.7,Public Sector,Montsaye Community Learning Partnership,
Montsaye Community Learning Partnership,50.7,Education,Montsaye Community Learning Partnership,
MOOR END ACADEMIES TRUST,19.5,Education,Moor End Academies Trust,
MOORES FURNITURE GROUP LIMITED,-2.8,Manufacturing,Moores Furniture Group,
MOORES FURNITURE GROUP LIMITED,-2.8,Construction,Moores Furniture Group,
Morris Education Trust,-8,Public Sector,Morris Education Trust,
Moss Bros Group PLC,2.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Moss Bros Group,
MOTO HOSPITALITY LIMITED,3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Moto Hospitality,
MOTO HOSPITALITY LIMITED,3,Accommodation and food service activities,Moto Hospitality,
MOTT MACDONALD GROUP LIMITED,20,"Professional, scientific and technical activities",Mott Macdonald Group,
MOVIANTO UK LIMITED,3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Movianto Uk,
MOVIANTO UK LIMITED,3,Transportation and storage,Movianto Uk,
MS INTERNATIONAL PLC,28.7,"Professional, scientific and technical activities",Ms International,
MSS GROUP LIMITED,3.8,Administrative and support service activities,Mss Group,
MTS CLEANSING SERVICES LIMITED,33.8,"Water supply, sewerage, waste management and remediation activities",Mts Cleansing Services,
Museum of London,3.5,"Arts, entertainment and recreation",Museum Of London,
Mutual Clothing & Supply Co. Ltd.,10.2,Financial and insurance activities,Mutual Clothing & Supply Co.,
MYCSP LIMITED,-0.5,Financial and insurance activities,Mycsp,
Myerscough College,18.7,Public Sector,Myerscough College,
Myerscough College,18.7,Education,Myerscough College,
Myfresh Prepared Produce Ltd.,3.8,Manufacturing,Myfresh Prepared Produce,
MYPAY LIMITED,-21.9,Administrative and support service activities,Mypay,
N-VIRO LIMITED,-1.9,Administrative and support service activities,N-viro,
N. NOTARO HOMES LIMITED,0,Human health and social work activities,N. Notaro Homes,
Nagel Langdons Ltd,17.9,Transportation and storage,Nagel Langdons,
Nasa Umbrella Ltd,0,Administrative and support service activities,Nasa Umbrella,
National Association Of Citizens Advice Bureaux(The),23.9,Education,National Association Of Citizens Advice Bureaux(the),
National Association Of Citizens Advice Bureaux(The),23.9,Human health and social work activities,National Association Of Citizens Advice Bureaux(the),
National Association Of Citizens Advice Bureaux(The),23.9,Other service activities,National Association Of Citizens Advice Bureaux(the),
National Audit Office,11.3,Public Sector,National Audit Office,
National Audit Office,11.3,"Professional, scientific and technical activities",National Audit Office,
National Council Of Young Men's Christian Associations(Incorporated)(The),5,Other service activities,National Council Of Young Men's Christian Associations(incorporated)(the),
national employment savings trust,24.2,Public Sector,National Employment Savings Trust,
NATIONAL EXHIBITION CENTRE LIMITED (THE),7.1,"Professional, scientific and technical activities",National Exhibition Centre  (the),
NATIONAL EXPRESS LIMITED,15,Transportation and storage,National Express,
NATIONAL FOOTBALL CENTRE LIMITED,1.5,"Arts, entertainment and recreation",National Football Centre,
National Grid Electricity Transmission PLC,14.5,"Electricity, gas, steam and air conditioning supply",National Grid Electricity Transmission,
NATIONAL GRID GAS PLC,-0.6,"Electricity, gas, steam and air conditioning supply",National Grid Gas,
NATIONAL GRID UK LIMITED,1.9,Other service activities,National Grid Uk,
National Heritage Memorial Fund,18.6,Public Sector,National Heritage Memorial Fund,
National Institute For Health And Care Excellence,6.4,Public Sector,National Institute For Health And Care Excellence,
National Institute For Health And Care Excellence,6.4,Public administration and defence; compulsory social security,National Institute For Health And Care Excellence,
National Institute For Health And Care Excellence,6.4,Human health and social work activities,National Institute For Health And Care Excellence,
National Portrait Gallery,13.1,Public Sector,National Portrait Gallery,
NATS (EN ROUTE) PUBLIC LIMITED COMPANY,17.7,Transportation and storage,Nats (en Route) Public  Company,
NATS (SERVICES) LIMITED,23.5,Transportation and storage,Nats (services),
Natural Resources Wales,1.7,Public Sector,Natural Resources Wales,
NATURES WAY FOODS EUROPE LIMITED,5.7,Financial and insurance activities,Natures Way Foods Europe,
NATURES WAY FOODS LIMITED,5.9,Manufacturing,Natures Way Foods,
Navigo Health And Social Care Cic,-0.4,Human health and social work activities,Navigo Health And Social Care Cic,
Naylor Drainage Ltd,-5,Manufacturing,Naylor Drainage,
Naylor Industries PLC,-5,Manufacturing,Naylor Industries,
NCO EUROPE LIMITED,0,Administrative and support service activities,Nco Europe,
NEOVIA LOGISTICS SERVICES (U.K.) LIMITED,0.3,Transportation and storage,Neovia Logistics Services,
Nespresso UK Ltd,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Nespresso Uk,
NESTLE PURINA PETCARE (U.K.) LIMITED,-21,Manufacturing,Nestle Purina Petcare,
Nestle UK Ltd.,10,Manufacturing,Nestle Uk,
NETWORK RAIL INFRASTRUCTURE LIMITED,11,Construction,Network Rail Infrastructure,
NETWORK RAIL INFRASTRUCTURE LIMITED,11,Transportation and storage,Network Rail Infrastructure,
NETWORK RAIL INFRASTRUCTURE LIMITED,11,Real estate activities,Network Rail Infrastructure,
NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED,-5,Manufacturing,New Balance Athletic Shoes,
NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED,-5,Wholesale and retail trade; repair of motor vehicles and motorcycles,New Balance Athletic Shoes,
NEW CHARTER HOUSING TRUST LIMITED,-2.6,Real estate activities,New Charter Housing Trust,
New College,29.7,Public Sector,New College,
New College,29.7,Education,New College,
New College Durham,25.6,Public Sector,New College Durham,
New College Durham,25.6,Education,New College Durham,
NEW ENGLAND SEAFOOD INTERNATIONAL LIMITED,0.1,Manufacturing,New England Seafood International,
New Forest District Council,-9.5,Public Sector,New Forest District Council,
New Forest District Council,-9.5,Transportation and storage,New Forest District Council,
NEW LOOK RETAILERS LIMITED,20.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,New Look Retailers,
Newark & Sherwood District Council,0,Public Sector,Newark & Sherwood District Council,
Newark & Sherwood District Council,0,Public administration and defence; compulsory social security,Newark & Sherwood District Council,
Newcastle City Council,6.7,Public Sector,Newcastle City Council,
Newcastle City Council,6.7,Public administration and defence; compulsory social security,Newcastle City Council,
Newcastle University,19.5,Public Sector,Newcastle University,
NEWSQUEST (HERALD & TIMES) LIMITED,17,Information and communication,Newsquest (herald & Times),
NEWSQUEST (MIDLANDS SOUTH) LIMITED,4,Information and communication,Newsquest (midlands South),
NEWSQUEST MEDIA GROUP LIMITED,7,Information and communication,Newsquest Media Group,
NEWTON INVESTMENT MANAGEMENT LIMITED,20,Financial and insurance activities,Newton Investment Management,
NEX Group PLC,31,"Professional, scientific and technical activities",Nex Group,
NEXEN PETROLEUM U.K. LIMITED,18.2,Mining and Quarrying,Nexen Petroleum U.k.,
Nexus,18.8,Public Sector,Nexus,
NHS Digital,14.1,Public Sector,Nhs Digital,
NHS Resolution formerly NHS Litigation Authority,8.1,Public Sector,Nhs Resolution Formerly Nhs Litigation Authority,
Niab.,1.5,"Agriculture, Forestry and Fishing",Niab.,
Niab.,1.5,"Professional, scientific and technical activities",Niab.,
NICE-PAK INTERNATIONAL LIMITED,3.5,Manufacturing,Nice-pak International,
NIFTYLIFT LIMITED,0.4,Manufacturing,Niftylift,
NIGHTINGALE GROUP LIMITED,0,Human health and social work activities,Nightingale Group,
Nmb-Minebea UK Ltd,-22,Manufacturing,Nmb-minebea Uk,
Nonsuch And Wallington Education Trust,7,Public Sector,Nonsuch And Wallington Education Trust,
Nonsuch And Wallington Education Trust,7,Education,Nonsuch And Wallington Education Trust,
Norfolk Academies,33.9,Public Sector,Norfolk Academies,
Norfolk Academies,33.9,Education,Norfolk Academies,
Norfolk County Council,9.7,Public Sector,Norfolk County Council,
Norfolk County Council,9.7,Public administration and defence; compulsory social security,Norfolk County Council,
NORGINE LIMITED,15.5,Manufacturing,Norgine,
NORTH AYRSHIRE LEISURE LIMITED,0.2,"Arts, entertainment and recreation",North Ayrshire Leisure,
North East Autism Society,-2.1,Education,North East Autism Society,
North East Autism Society,-2.1,Human health and social work activities,North East Autism Society,
North East London Nhs Foundation Trust,15.4,Public Sector,North East London Nhs Foundation Trust,
North East London Nhs Foundation Trust,15.4,Human health and social work activities,North East London Nhs Foundation Trust,
North Essex Multi-Academy Trust,34.5,Public Sector,North Essex Multi-academy Trust,
North Essex Multi-Academy Trust,34.5,Education,North Essex Multi-academy Trust,
North Kent College,36.8,Public Sector,North Kent College,
North Kent College,36.8,Education,North Kent College,
North Kesteven District Council,4.3,Public Sector,North Kesteven District Council,
North Kesteven District Council,4.3,Public administration and defence; compulsory social security,North Kesteven District Council,
North Midland Construction PLC,21.8,Construction,North Midland Construction,
North Norfolk District Council,27.5,Public Sector,North Norfolk District Council,
North Norfolk District Council,27.5,Public administration and defence; compulsory social security,North Norfolk District Council,
North Somerset Council,12.6,Public Sector,North Somerset Council,
North Somerset Council,12.6,Public administration and defence; compulsory social security,North Somerset Council,
North Star (Guernsey) Limited,-10.7,Transportation and storage,North Star (guernsey),
North West Anglia NHS Foundation Trust,13.9,Public Sector,North West Anglia Nhs Foundation Trust,
North West Anglia NHS Foundation Trust,13.9,Human health and social work activities,North West Anglia Nhs Foundation Trust,
Northampton Borough Council,15,Public Sector,Northampton Borough Council,
Northampton Borough Council,15,Public administration and defence; compulsory social security,Northampton Borough Council,
Northampton General Hospital Nhs Trust,9.5,Public Sector,Northampton General Hospital Nhs Trust,
Northampton General Hospital Nhs Trust,9.5,Human health and social work activities,Northampton General Hospital Nhs Trust,
Northeast Derbyshire Council,8.8,Public Sector,Northeast Derbyshire Council,
Northeast Derbyshire Council,8.8,Public administration and defence; compulsory social security,Northeast Derbyshire Council,
NORTHERN AEROSPACE LIMITED,2.2,Manufacturing,Northern Aerospace,
NORTHERN LIFE CARE LIMITED,1.6,Human health and social work activities,Northern Life Care,
Northern Lincolnshire and Goole NHS FT,19,Public Sector,Northern Lincolnshire And Goole Nhs Ft,
Northern Schools Trust,-1.9,Public Sector,Northern Schools Trust,
Northern Schools Trust,-1.9,Education,Northern Schools Trust,
NORTHGATE PUBLIC SERVICES (UK) LIMITED,36,Manufacturing,Northgate Public Services,
NORTON HEALTHCARE LIMITED,9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Norton Healthcare,
NORTON WAY MOTORS LIMITED,16.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Norton Way Motors,
Norwood Schools Ltd.,-0.5,Human health and social work activities,Norwood Schools,
NOTCUTTS LIMITED,0.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Notcutts,
NOTTINGHAM CITY HOMES LIMITED,22.3,Administrative and support service activities,Nottingham City Homes,
Nottingham Citycare Partnership Cic,-26.7,Human health and social work activities,Nottingham Citycare Partnership Cic,
Nottinghamshire County Council,25.4,Public Sector,Nottinghamshire County Council,
Nottinghamshire County Council,25.4,Public administration and defence; compulsory social security,Nottinghamshire County Council,
Nottinghamshire Fire and Rescue Service,11.9,Public Sector,Nottinghamshire Fire And Rescue Service,
Nottinghamshire Fire and Rescue Service,11.9,Public administration and defence; compulsory social security,Nottinghamshire Fire And Rescue Service,
Nottinghamshire Police,11.6,Public Sector,Nottinghamshire Police,
Nottinghamshire Police,11.6,Public administration and defence; compulsory social security,Nottinghamshire Police,
NOVARTIS GRIMSBY LIMITED,14.3,Manufacturing,Novartis Grimsby,
NOVARTIS PHARMACEUTICALS UK LIMITED,8.6,Manufacturing,Novartis Pharmaceuticals Uk,
Nower Hill High School,18.6,Public Sector,Nower Hill High School,
Nower Hill High School,18.6,Education,Nower Hill High School,
NPOWER LIMITED,13,"Electricity, gas, steam and air conditioning supply",Npower,
NPOWER YORKSHIRE LIMITED,10,"Electricity, gas, steam and air conditioning supply",Npower Yorkshire,
NRG FLEET SERVICES LIMITED,26,Administrative and support service activities,Nrg Fleet Services,
NSF INTERNATIONAL UK LIMITED,23.2,Financial and insurance activities,Nsf International Uk,
NSF SAFETY AND QUALITY UK LIMITED,23.2,Other service activities,Nsf Safety And Quality Uk,
NSK EUROPE LIMITED,16.9,"Professional, scientific and technical activities",Nsk Europe,
nugent,13.6,Public Sector,Nugent,
NUMATIC INTERNATIONAL LIMITED,4.3,Manufacturing,Numatic International,
Nuneaton & Bedworth Borough Council,0,Public Sector,Nuneaton & Bedworth Borough Council,
Nuneaton & Bedworth Borough Council,0,Public administration and defence; compulsory social security,Nuneaton & Bedworth Borough Council,
